,accuracy,average_loss,cell0_size,cell1_size,cell2_size,cell3_size,cell4_size,cell5_size,cell6_size,conv,degree_of_convexity,global_step,loss,num_epochs,num_labels,temp
43,0.0715825781226,3.21718382835,1684,389,1702,69,473,4850,94,0.75,0.487739557719,4774,7460.64941406,6,7,0.1
44,0.667242109776,2.03179907799,327,58,268,140,152,4383,3933,1.0,0.690748741183,4315,4707.67871094,6,7,0.1
45,0.515753149986,2.12265205383,1060,606,1127,2404,1778,1395,891,0.0,0.63310586549,2367,4918.18457031,6,7,0.01
46,0.452350139618,2.96898150444,2179,1026,1289,925,1403,569,1870,0.25,0.690022544893,2145,6885.06787109,6,7,0.01
47,0.628830373287,1.02728867531,747,1516,779,519,1901,1676,2123,0.5,0.742252626888,2090,2380.2277832,6,7,0.01
48,0.534311592579,2.59420442581,2067,543,2668,543,1282,1147,1011,0.75,0.809826613359,2627,6010.77148438,6,7,0.01
49,0.342252910137,4.21429395676,323,1055,852,843,4030,1095,1063,1.0,0.891763558817,3967,9764.51855469,6,7,0.01
50,0.608977138996,1.77430725098,1557,2988,2077,544,539,696,860,0.0,0.742936177466,2942,4111.06982422,6,7,0.001
51,0.587397515774,2.13242220879,345,5356,1749,424,256,724,407,0.25,0.828632456171,5273,4940.82226562,6,7,0.001
52,0.562553942204,1.76468908787,922,553,2095,1266,693,828,2904,0.5,0.803083338345,2859,4090.54931641,6,7,0.001
53,0.675150990486,1.37848842144,359,834,1275,936,4195,1093,569,0.75,0.850334831817,4130,3195.33618164,6,7,0.001
54,0.328731656075,4.5860042572,940,715,989,241,236,5099,1041,1.0,0.940273898733,5019,10630.3574219,6,7,0.001
55,0.630444169044,1.28042411804,317,951,645,3940,961,917,1530,0.0,0.790003113307,3879,2969.3034668,6,7,0.0005
56,0.538826584816,1.85796046257,508,1121,3478,1214,316,1573,1051,0.25,0.724133480011,3423,4306.75244141,6,7,0.0005
57,0.593008220196,1.67055344582,1890,337,312,3784,1327,384,1227,0.5,0.772269932771,3725,3870.67236328,6,7,0.0005
58,0.156668111682,9.2085351944,6603,545,376,344,492,331,570,0.75,0.811819348492,6500,21336.1757812,6,7,0.0005
59,0.653149247169,1.13325607777,307,1478,2264,986,1419,1294,1513,1.0,0.942032300758,2229,2626.88745117,6,7,0.0005
60,0.144521132112,2.21902489662,1345,1321,1299,1348,1290,1355,1303,0.0,0.151303785534,1334,5143.69970703,6,7,5.0
61,0.187311172485,2.64507913589,1780,1638,694,1251,611,2279,1008,0.25,0.187191889858,2244,6128.6484375,6,7,5.0
62,0.153083220124,4.51860141754,2138,1421,130,224,3697,957,694,0.5,0.305642583724,3639,10478.6367188,6,7,5.0
63,0.211389124393,2.3469414711,981,458,515,1011,1772,4354,170,0.75,0.440213361159,4286,5440.21044922,6,7,5.0
64,0.708369255066,1.32378256321,3173,4214,688,98,66,152,870,1.0,0.628382744053,4148,3068.52807617,6,7,5.0
65,0.138050049543,2.28517103195,1298,1424,1344,1309,1298,1233,1355,0.0,0.152221548125,1402,5297.02636719,6,7,1.0
